<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170320,144500,162.8200000,162.8200000,162.5200000,162.7500000,74130
SBER,5,20170320,145000,162.6700000,162.7600000,162.3500000,162.5000000,86660
SBER,5,20170320,145500,162.4800000,162.5300000,162.3500000,162.5300000,49260
SBER,5,20170320,150000,162.4700000,162.7500000,162.4700000,162.7000000,45330
SBER,5,20170320,150500,162.7300000,162.9000000,162.2200000,162.3700000,233220
SBER,5,20170320,151000,162.3400000,162.5000000,162.0000000,162.0000000,419070
SBER,5,20170320,151500,162.0000000,162.3000000,161.9700000,162.2900000,240510
SBER,5,20170320,152000,162.2900000,162.4000000,162.1100000,162.4000000,110810
SBER,5,20170320,152500,162.3600000,162.8000000,162.3000000,162.7300000,196170
SBER,5,20170320,153000,162.7300000,162.7400000,162.5800000,162.6600000,40860
SBER,5,20170320,153500,162.5800000,162.6600000,162.4500000,162.5600000,44770
SBER,5,20170320,154000,162.5600000,162.5900000,162.4200000,162.4900000,59440
SBER,5,20170320,154500,162.4400000,162.5000000,162.3500000,162.4200000,112160
SBER,5,20170320,155000,162.3800000,162.4200000,162.2400000,162.3500000,276580
SBER,5,20170320,155500,162.3100000,162.4200000,162.2600000,162.4000000,52840
SBER,5,20170320,160000,162.4100000,162.4100000,162.2800000,162.4000000,40250
SBER,5,20170320,160500,162.3900000,162.6900000,162.2500000,162.5500000,363820
SBER,5,20170320,161000,162.5800000,163.2600000,162.4800000,162.8300000,1163330
SBER,5,20170320,161500,162.8300000,163.1500000,162.8300000,163.1000000,175950
SBER,5,20170320,162000,163.0300000,163.4600000,163.0300000,163.4600000,689030
SBER,5,20170320,162500,163.4600000,163.5900000,163.3300000,163.4600000,319790
SBER,5,20170320,163000,163.4000000,163.7400000,163.4000000,163.6400000,335190
SBER,5,20170320,163500,163.6400000,163.6700000,163.3000000,163.3000000,504770
SBER,5,20170320,164000,163.3000000,163.4500000,163.2900000,163.4000000,406760
SBER,5,20170320,164500,163.3200000,163.6600000,163.3000000,163.5900000,252260
